LSOA_code,all,G1,G2,G3,G4
E01000289,1098,280,264,390,164
E01000290,1263,499,335,298,131
E01000291,1127,402,269,312,144
E01000292,1198,587,309,201,101
E01000293,1364,758,336,208,62
E01000294,1388,652,356,261,119
E01000295,1261,680,298,176,107
E01000296,1370,683,324,237,126
E01000297,1087,474,257,247,109
E01000298,1292,649,305,222,116
E01000299,1624,606,443,310,265
E01000300,1251,698,265,193,95
E01000301,1090,600,281,98,111
E01000302,1362,564,345,234,219
E01000303,1102,605,249,152,96
E01000304,1203,602,273,202,126
E01000305,1255,427,345,328,155
E01000306,1514,418,515,426,155
E01000307,1186,354,304,363,165
E01000308,1631,699,355,399,178
E01000309,1495,572,404,315,204
E01000310,1631,563,405,423,240
E01000311,1056,512,340,125,79
E01000312,1331,343,399,405,184
E01000313,1411,452,401,370,188
E01000314,1592,636,462,342,152
E01000315,1264,370,331,363,200
E01000316,1649,677,363,383,226
E01000317,1171,597,249,205,120
E01000318,1402,548,387,312,155
E01000319,1017,551,234,164,68
E01000320,1491,725,389,264,113
E01000321,1577,713,373,287,204
E01000322,1355,571,382,270,132
E01000323,1848,694,453,424,277
E01000324,1333,588,357,258,130
E01000325,1269,526,375,290,78
E01000326,1019,390,268,308,53
E01000327,1257,482,416,282,77
E01000328,1234,481,373,307,73
E01000329,1241,478,331,341,91
E01000330,1305,462,335,390,118
E01000331,1197,392,318,364,123
E01000332,1247,432,322,377,116
E01000333,1406,418,368,461,159
E01000334,1237,374,373,389,101
E01000335,1927,619,496,604,208
E01000336,1353,346,310,497,200
E01000337,1212,371,326,398,117
E01000338,1349,472,328,420,129
E01000339,1198,450,359,306,83
E01000340,1199,395,397,310,97
E01000341,1223,394,436,298,95
E01000342,1178,412,372,331,63
E01000343,1128,383,377,280,88
E01000344,1188,489,384,258,57
E01000345,1051,450,347,198,56
E01000346,1218,441,380,321,76
E01000347,1136,374,398,285,79
E01000348,1160,520,382,211,47
E01000349,1307,560,422,246,79
E01000350,1135,431,386,254,64
E01000351,1260,496,393,293,78
E01000352,1225,398,378,340,109
E01000353,1329,534,408,290,97
E01000354,1151,388,325,353,85
E01000355,1186,445,332,331,78
E01000356,1207,474,316,310,107
E01000357,1051,442,328,228,53
E01000358,1289,489,400,318,82
E01000359,999,406,306,232,55
E01000360,1467,543,420,373,131
E01000361,1207,480,369,280,78
E01000362,1431,578,386,367,100
E01000363,1173,493,348,252,80
E01000364,1282,492,388,292,110
E01000365,1321,498,361,359,103
E01000366,1246,560,351,252,83
E01000367,1523,421,359,570,173
E01000368,1160,291,288,450,131
E01000369,1316,437,374,412,93
E01000370,1242,493,366,307,76
E01000371,1230,469,338,348,75
E01000372,1202,352,276,431,143
E01000373,819,305,193,261,60
E01000374,1056,291,238,396,131
E01000375,1524,556,395,463,110
