LSOA_code,all,G1,G2,G3,G4
E01000474,2274,99,233,1681,261
E01000475,2134,80,307,1266,481
E01000476,2205,97,197,1516,395
E01000477,2381,105,271,1502,503
E01000478,2530,102,302,1619,507
E01000479,1762,225,141,681,715
E01000480,1686,215,166,523,782
E01000481,1634,209,319,544,562
E01000483,1843,148,637,419,639
E01000484,1771,279,603,421,468
E01000485,1605,285,215,636,469
E01000486,1702,228,151,614,709
E01000487,1990,213,195,745,837
E01000488,1649,312,261,317,759
E01000489,1732,446,236,301,749
E01000490,1770,580,256,153,781
E01000491,2069,657,275,307,830
E01000492,1273,501,117,191,464
E01000493,1600,551,164,224,661
E01000494,1761,492,239,229,801
E01000495,1588,411,298,149,730
E01000497,2088,310,487,412,879
E01000498,1686,101,290,634,661
E01000499,1897,166,402,519,810
E01000501,2027,263,720,318,726
E01000502,1879,311,391,258,919
E01000503,2093,389,422,316,966
E01000504,1805,503,288,206,808
E01000505,1688,300,372,386,630
E01000506,1653,229,355,336,733
E01000507,1620,313,230,387,690
E01000508,2609,283,1168,464,694
E01000509,1437,134,255,424,624
E01000510,1664,209,336,303,816
E01000511,1766,316,321,488,641
E01000512,1705,447,176,391,691
E01000513,1682,255,131,675,621
E01000514,1569,238,175,501,655
E01000515,1875,253,369,548,705
E01000516,2343,298,297,706,1042
E01000517,1619,210,75,826,508
E01000518,1920,371,275,534,740
E01000519,2018,282,262,626,848
E01000520,1674,329,222,566,557
E01000521,2270,240,939,343,748
E01000522,2046,378,802,195,671
E01000523,2303,432,734,360,777
E01000524,2423,291,946,266,920
E01000525,1847,305,726,201,615
E01000526,2198,256,1050,340,552
E01000527,1892,238,776,264,614
E01000528,1716,187,843,195,491
E01000530,1812,571,296,222,723
E01000531,1807,507,504,153,643
E01000532,1507,553,386,122,446
E01000533,2178,393,873,271,641
E01000534,1754,642,358,201,553
E01000535,2057,539,498,267,753
E01000536,1557,215,51,962,329
E01000538,1619,234,38,892,455
E01000539,1575,198,67,817,493
E01000540,1459,201,55,812,391
E01000541,1413,161,82,687,483
E01000543,1622,132,122,858,510
E01000544,1769,252,645,184,688
E01000545,1917,502,338,232,845
E01000546,1642,547,231,161,703
E01000547,1657,541,347,170,599
E01000548,1978,474,371,174,959
E01000549,1815,662,217,174,762
E01000550,2020,434,603,246,737
E01000551,2903,439,1368,300,796
E01000552,1517,166,640,242,469
E01000553,2042,337,294,548,863
E01000554,1972,396,366,282,928
E01000555,1574,414,193,368,599
E01000556,2088,378,277,482,951
E01000557,1864,366,249,351,898
E01000558,1387,453,223,149,562
E01000559,1379,393,195,177,614
E01000560,1569,574,155,167,673
E01000561,1936,395,504,162,875
E01000562,1505,150,128,804,423
E01000563,1591,136,119,899,437
E01000564,1629,117,241,712,559
E01000565,1535,148,310,697,380
E01000566,1539,184,150,766,439
E01000567,1407,243,146,523,495
E01000568,2216,329,197,1057,633
E01000569,1456,209,104,704,439
E01000570,1546,155,269,737,385
E01000571,1761,225,207,783,546
E01000572,1506,167,124,661,554
E01000573,1666,197,106,688,675
E01000574,1657,295,98,611,653
E01000575,2158,204,147,701,1106
E01000576,1872,146,175,810,741
E01000577,2583,232,672,749,930
E01000578,2325,319,364,707,935
E01000579,1588,594,335,170,489
E01000580,2087,890,226,136,835
E01000581,1512,702,233,98,479
E01000582,1843,867,220,70,686
E01000583,2051,806,279,198,768
E01000584,1553,569,181,274,529
E01000585,1497,600,253,150,494
E01000586,2385,701,421,280,983
E01000587,1629,158,60,834,577
E01000589,2550,188,209,1283,870
E01000590,1942,372,128,768,674
E01000591,2192,191,137,1044,820
E01000592,1833,233,197,728,675
E01000593,2116,274,380,818,644
E01000594,1814,182,120,847,665
E01000595,1777,165,866,220,526
E01000596,1849,202,909,298,440
E01000599,1885,184,921,318,462
E01000601,1381,129,683,195,374
E01000602,1449,130,645,340,334
E01000603,1445,147,617,226,455
E01000604,1738,183,905,260,390
E01000605,1761,218,871,339,333
E01000606,1870,160,305,842,563
E01000607,2594,164,264,1356,810
E01000608,2332,181,317,1264,570
E01000609,2072,195,306,927,644
E01000610,2185,196,332,1129,528
E01000611,1924,130,371,1021,402
E01000612,1762,158,174,1029,401
E01000613,1750,179,285,767,519
E01000615,3191,574,634,867,1116
E01000616,1933,177,208,951,597
E01000617,2267,225,362,1075,605
E01000618,1677,112,323,725,517
E01000619,1695,75,502,705,413
E01000620,1752,101,293,988,370
E01000621,1812,81,389,936,406
E01000622,1973,269,627,290,787
E01000623,1881,309,160,641,771
E01000624,1754,262,247,607,638
E01000625,1667,239,200,442,786
E01000626,1557,226,559,200,572
E01000627,2050,234,566,398,852
E01000628,1773,196,375,442,760
E01000629,1986,272,203,761,750
E01000630,2728,149,522,1504,553
E01000631,2075,106,143,1453,373
E01000632,2476,45,121,2007,303
E01000633,2621,75,153,2108,285
E01000634,2655,120,444,1534,557
E01000636,2607,124,342,1561,580
E01000637,1509,307,334,222,646
E01000638,2139,257,464,408,1010
E01000639,1715,357,271,272,815
E01000640,2217,264,406,526,1021
E01000641,1953,306,488,361,798
E01000642,2196,454,351,429,962
E01000643,2244,348,768,327,801
E01000644,1914,399,417,348,750
E01033455,1139,143,303,173,520
E01033456,2621,174,1473,374,600
E01033457,1982,148,244,859,731
E01033463,3157,389,171,1576,1021
E01033485,1643,286,583,225,549
E01033929,1343,184,291,371,497
E01033930,1845,225,379,672,569
E01033931,1362,175,360,387,440
E01033932,1655,139,706,402,408
E01033933,1477,97,250,641,489
E01033934,1643,136,314,615,578
E01033935,2013,101,302,1216,394
E01033936,1639,102,258,841,438
E01033937,1160,113,571,177,299
E01033938,1227,146,628,162,291
E01033939,1933,234,346,350,1003
E01033940,2352,565,364,512,911
E01033941,1562,154,320,547,541
E01033942,1612,337,208,339,728
E01000645,1443,968,75,163,237
E01000646,1832,1129,153,152,398
E01000647,1707,1188,136,89,294
E01000648,1886,1238,145,143,360
E01000649,2073,1282,159,228,404
E01000650,1804,1207,132,194,271
E01000651,1672,1241,104,100,227
E01000652,1709,1252,107,132,218
E01000653,1544,1065,82,155,242
E01000654,1302,1161,52,16,73
E01000655,1328,1187,57,13,71
E01000656,1508,1331,59,30,88
E01000657,1568,1386,61,20,101
E01000658,1331,1232,17,21,61
E01000659,1469,1271,93,18,87
E01000661,2816,1576,462,185,593
E01000662,1796,1176,236,94,290
E01000663,1687,1185,107,93,302
E01000664,1667,1128,159,91,289
E01000665,1850,1403,130,97,220
E01000666,1893,1609,51,68,165
E01000667,1651,1375,42,103,131
E01000668,2222,1455,198,163,406
E01000669,1741,1314,113,73,241
E01000670,1945,1011,161,302,471
E01000671,2271,1254,248,255,514
E01000672,1674,958,197,131,388
E01000673,1673,1090,169,70,344
E01000674,1717,950,207,90,470
E01000676,2034,859,268,190,717
E01000677,1901,1102,180,134,485
E01000678,1851,1196,152,151,352
E01000679,1795,1208,158,100,329
E01000680,1644,1344,37,129,134
E01000681,1758,1294,51,200,213
E01000682,1598,1139,69,197,193
E01000683,1703,1097,94,249,263
E01000684,2088,1294,111,367,316
E01000685,1626,1170,75,186,195
E01000686,1491,1130,41,153,167
E01000687,1563,1287,29,100,147
E01000688,1391,1056,32,128,175
E01000689,1640,1044,118,82,396
E01000690,1386,1013,104,62,207
E01000691,1535,1121,124,52,238
E01000692,1663,1327,85,35,216
E01000693,1510,1178,60,76,196
E01000694,2304,1587,136,161,420
E01000695,1516,1208,50,66,192
E01000696,1638,1300,43,89,206
E01000697,1783,1272,110,92,309
E01000698,1200,742,83,157,218
E01000699,1448,727,335,63,323
E01000700,1529,1005,168,61,295
E01000701,1444,873,221,45,305
E01000702,1434,869,174,43,348
E01000703,1725,1075,196,79,375
E01000704,1472,872,257,50,293
E01000705,1352,635,354,95,268
E01000706,1376,880,184,68,244
E01000707,1508,1140,61,28,279
E01000708,1694,1107,199,67,321
E01000709,1375,839,137,50,349
E01000710,2369,1305,295,171,598
E01000711,1878,1026,202,138,512
E01000712,1793,1084,190,87,432
E01000713,1850,1117,155,106,472
E01000714,2165,1224,212,134,595
E01000715,1754,1135,120,94,405
E01000716,1655,1102,130,111,312
E01000717,1703,1031,164,102,406
E01000718,2062,1020,466,127,449
E01000719,2110,1283,364,116,347
E01000720,1798,1084,317,78,319
E01000721,1606,865,393,95,253
E01000722,1839,1253,154,149,283
E01000723,1242,995,94,59,94
E01000724,1681,938,366,68,309
E01000725,1753,1278,193,57,225
E01000726,1310,963,75,81,191
E01000727,1689,1161,107,196,225
E01000728,1627,1054,210,67,296
E01000729,1952,1273,273,107,299
E01000730,1813,1188,313,68,244
E01000731,1377,969,133,73,202
E01000732,1515,1144,91,67,213
E01000733,1664,1150,160,100,254
E01000734,1388,997,97,64,230
E01000735,1552,1009,202,118,223
E01000736,1632,1195,161,55,221
E01000737,1404,976,156,74,198
E01000738,1688,1076,235,125,252
E01000739,1675,1175,207,65,228
E01000741,1828,841,479,79,429
E01000742,2114,961,520,81,552
E01000743,1871,786,567,64,454
E01000744,1555,641,512,57,345
E01000745,1885,926,405,76,478
E01000746,2017,1092,318,73,534
E01000747,2027,1671,78,48,230
E01000748,1688,1556,24,5,103
E01000749,1650,1423,51,61,115
E01000750,1456,1145,109,75,127
E01000751,2273,1491,163,316,303
E01000752,1749,1455,74,79,141
E01000753,1933,1581,46,135,171
E01000754,1773,1245,80,177,271
E01000755,1638,1253,47,117,221
E01000756,1709,1246,79,193,191
E01000757,1574,1238,55,100,181
E01000758,1446,1016,57,174,199
E01000759,1649,1361,63,36,189
E01000760,1624,1225,103,78,218
E01000761,1544,1262,90,38,154
E01000762,1746,1129,124,160,333
E01000763,1478,1179,58,74,167
E01000764,1818,1292,109,126,291
E01000765,1779,1391,87,47,254
E01000766,1810,1462,69,79,200
E01000767,1629,1364,44,46,175
E01000768,1504,1255,34,41,174
E01000769,1394,938,195,69,192
E01000770,1524,1107,49,85,283
E01000771,1671,1162,94,88,327
E01000772,1578,1111,59,70,338
E01000773,1577,1159,82,37,299
E01000774,1503,990,136,79,298
E01000775,2277,1496,201,134,446
E01000777,1637,1129,152,97,259
E01000778,1629,1082,223,50,274
E01000779,1406,851,150,143,262
E01000780,1609,912,267,95,335
E01000781,1572,937,258,52,325
E01000782,1549,851,316,69,313
E01000783,1622,957,219,108,338
E01000784,1552,1099,131,54,268
E01000785,1574,1005,220,45,304
E01000786,1456,1060,73,113,210
E01000787,1478,1091,125,95,167
E01000788,1607,1047,135,110,315
E01000789,1874,1108,430,66,270
E01000790,2301,1256,165,364,516
E01000791,1508,1072,107,128,201
E01000792,1501,926,222,140,213
E01000793,1560,1186,57,170,147
E01000794,1539,1212,22,166,139
E01000795,1385,1014,144,96,131
E01000796,1541,515,653,56,317
E01000797,1654,1120,145,60,329
E01000798,1525,646,449,81,349
E01000799,1803,854,391,105,453
E01000800,1668,733,438,110,387
E01000801,1507,799,329,63,316
E01000802,1858,996,338,65,459
E01000803,1607,951,278,60,318
E01000804,1472,860,168,111,333
E01000805,1698,950,325,44,379
E01000806,1714,707,572,67,368
E01000807,1665,1260,52,99,254
E01000808,1562,1123,38,137,264
E01000809,1539,1257,46,57,179
E01000810,1536,1150,41,160,185
E01000811,1364,958,33,108,265
E01000812,1637,1102,94,163,278
E01000813,1560,1176,52,129,203
E01000814,1530,1048,18,158,306
E01000815,1509,1223,35,53,198
E01000816,1523,764,334,105,320
E01000818,1686,1059,212,111,304
E01000819,1848,953,369,139,387
E01000820,1615,1011,199,122,283
E01000822,1631,938,242,121,330
E01000823,1694,1154,139,65,336
E01000824,1403,818,146,56,383
E01000825,1666,1106,133,82,345
E01000826,1643,1231,78,82,252
E01000827,1776,1085,139,195,357
E01000828,1704,1131,114,132,327
E01000829,1769,935,139,176,519
E01000830,1632,1177,70,159,226
E01000831,1694,1099,104,122,369
E01000832,1570,1103,110,91,266
