LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,all,G1,G2,G3,G4,weighted_density_all,weighted_density_G1,weighted_density_G2,weighted_density_G3,weighted_density_G4,local_d_index,local_q_G1,local_q_G2,local_q_G3,local_q_G4,local_p_G1_G2,local_p_G1_G3,local_p_G1_G4,local_p_G2_G1,local_p_G2_G3,local_p_G2_G4,local_p_G3_G1,local_p_G3_G2,local_p_G3_G4,local_p_G4_G1,local_p_G4_G2,local_p_G4_G3
E01003880,Richmond upon Thames 016A,NA,515850,172616,51.4407,-0.33453,9fbf481d-bbb0-41f5-b75f-c550dd529371,1124,711,244,108,61,1251.3179977515224,765.5081931435749,262.42949168831933,157.83738570732513,65.54292721230307,4.749157807831161e-5,1.6057455830772476e-4,3.440662203264655e-5,9.04846266297167e-6,4.368041025082252e-6,5.504774487354065e-5,3.310829161778311e-5,1.3748417954995015e-5,1.003642955482564e-4,2.0693753730631874e-5,8.593206156057005e-6,4.388486462074671e-5,1.5044493081046952e-5,3.7574287425293474e-6,5.1016506813263965e-5,1.7489343772715848e-5,1.0518910359742254e-5
E01003881,Richmond upon Thames 016B,NA,515881,172117,51.4362,-0.33424,56edfc7c-3e77-4e41-b5df-7e3c49988b60,852,559,172,69,52,1218.4377925435524,742.9965187576926,261.461159252751,149.25120500190465,64.72890953120431,3.562759342441259e-5,1.2584043440923517e-4,2.481644283694095e-5,5.614000293965109e-6,3.776565351739079e-6,4.4283364768009895e-5,2.5278498619273695e-5,1.096305822248309e-5,7.052110794770905e-5,1.4166096439945127e-5,6.1437090230515855e-6,2.7947396971887157e-5,9.83471473403964e-6,2.4347415964352494e-6,4.334963974405224e-5,1.5254778151074182e-5,8.707962695459491e-6
E01003882,Richmond upon Thames 014A,NA,515855,173041,51.4445,-0.33431,85ff165d-c23d-4895-94e9-eb9fee600340,1481,966,301,167,47,1297.0682687899275,793.5833149849957,268.3056266276335,168.33228672178873,66.84704045550956,6.259762391235021e-5,2.1818847298726694e-4,4.1863998204121515e-5,1.439560476995111e-5,3.311432741547746e-6,7.376817765993729e-5,4.6281422379673256e-5,1.8378982276084584e-5,1.238236070220787e-4,2.6265056896465533e-5,1.0430211310716012e-5,6.786643238223709e-5,2.2945222415169244e-5,5.71669044114452e-6,3.931210349000156e-5,1.329117984434271e-5,8.338754295055575e-6
E01003883,Richmond upon Thames 014B,NA,515160,173233,51.4464,-0.34425,df6aea5b-7b54-4e67-8673-56dca45a593a,1474,982,282,145,65,1271.7620735370713,751.4327522441296,275.01005991690056,176.5876041160335,68.73165726000768,5.545323558123662e-5,2.1420061928428867e-4,4.100143736667781e-5,1.3373072603476498e-5,4.80245201633294e-6,7.839334254154429e-5,5.0337404174384895e-5,1.9592390011696002e-5,1.1203162144584009e-4,2.6327566315512423e-5,1.0247249650088117e-5,5.690639953293587e-5,2.0826657207142033e-5,5.2050847356838314e-6,5.250447726732186e-5,1.9215637588419386e-5,1.2338615555832056e-5
E01003884,Richmond upon Thames 016C,NA,515466,172736,51.4419,-0.34001,6d6e10cd-3eb7-43ba-bc89-a1fb26e1e6b6,1284,776,271,162,75,1246.9834599169003,761.5690165561117,263.81582185952624,157.92026609781362,63.67835540344865,5.395820375009517e-5,1.749585933881683e-4,3.854931790410723e-5,1.3627024726180237e-5,5.235897549291892e-6,6.060756688187235e-5,3.627971598542965e-5,1.4629108128689708e-5,1.1128205244934876e-4,2.3075638520828918e-5,9.304814050786342e-6,6.571620017962078e-5,2.2764809207012203e-5,5.494839548128785e-6,6.261935193110891e-5,2.1692027163501644e-5,1.2984856926758593e-5
E01003885,Richmond upon Thames 016D,NA,515128,172327,51.4383,-0.345,c3bbc95e-90f6-4611-ad42-7119f61bc3b6,1144,704,234,150,56,1220.69265964309,733.694663820768,263.44886319202675,160.1136228329528,63.43550979734267,4.562088680971954e-5,1.562092221127139e-4,3.395573342219101e-5,1.3068389365136197e-5,3.978440429296226e-6,5.609028389466174e-5,3.408941853568386e-5,1.3505906650817662e-5,9.456537453275313e-5,2.0636929035499915e-5,8.176156974377654e-6,5.9883771113816574e-5,2.15025571283703e-5,5.177572819475111e-6,4.601461425357257e-5,1.6522537798209596e-5,1.0041733918348537e-5
E01003886,Richmond upon Thames 021A,NA,516018,171289,51.4287,-0.33254,49732736-65ca-4123-8551-9a72f069d03e,1215,780,237,140,58,1255.1399053338123,761.3568262076477,272.7894936896961,153.6641363495933,67.32944908687526,4.994461314988439e-5,1.7466894383107385e-4,3.4633079541610405e-5,1.1384586804104326e-5,4.253433508995725e-6,6.258281414291466e-5,3.525331549805703e-5,1.5446586089352422e-5,9.666109630890635e-5,1.950904407976234e-5,8.548079085373653e-6,5.6406999595135386e-5,2.0210282919188346e-5,4.98826841325024e-6,4.809753652841802e-5,1.723305313050468e-5,9.707493460059463e-6
E01003887,Richmond upon Thames 021B,NA,516152,170929,51.4255,-0.33074,977c0f02-fc21-4cd0-9bf5-1fc3f47894b0,1371,872,304,147,48,1273.7359794152433,769.3454779486075,277.4163889253536,157.98886015133223,68.98525238994992,5.557223115455943e-5,1.944390349837006e-4,4.451778456752266e-5,1.2110811351895927e-5,3.5539949762960865e-6,7.011229219821575e-5,3.992900769094001e-5,1.7434853765014147e-5,1.2345902265539777e-4,2.5352914683703054e-5,1.1070256577589305e-5,5.897503114425264e-5,2.126566106610914e-5,5.288141056004486e-6,3.9635282454425005e-5,1.4291988771886317e-5,8.139299282615662e-6
E01003888,Richmond upon Thames 021C,NA,515263,170549,51.4222,-0.34364,faa614b6-3610-4a82-af50-43efdcbc232e,1527,785,309,291,142,1347.4343665149715,791.1167084731023,290.21999489689955,185.959578603431,80.13808454153875,5.618465783367872e-5,1.7014828537561914e-4,4.474921814893149e-5,2.6675512852255117e-5,1.1545650676925965e-5,6.241864693862336e-5,3.999498823582517e-5,1.723558298287771e-5,1.2198282265597853e-4,2.8673233740371782e-5,1.2356545690316056e-5,1.1348403821409091e-4,4.1631451641237594e-5,1.1495640720404828e-5,1.1397773247219833e-4,4.181256264993453e-5,2.679156042805943e-5
E01003889,Richmond upon Thames 021D,NA,515869,169929,51.4165,-0.33513,5f255a04-3cd2-40cc-8a2a-a2b0876edfe8,1314,844,288,141,41,1357.6259454044928,816.8393668840391,294.09870198299075,175.56577454151545,71.12210199594736,5.2580625312142616e-5,1.8746662497187794e-4,4.194814190550539e-5,1.2111214491366822e-5,2.9363447405201242e-6,6.749636869202016e-5,4.029277303250241e-5,1.6322695700804427e-5,1.1650814316765182e-4,2.504145028373295e-5,1.0144349522890365e-5,5.634877756305246e-5,2.0288079898547085e-5,4.906281048223896e-6,3.3724002967972e-5,1.2142149240903456e-5,7.248402735899116e-6
